,team1,team2,games_played,score1,home,p10,d10,e10,p11,d11,e11,p12,d12,e12,p13,d13,e13,p14,d14,e14,p15,d15,e15,p16,d16,e16,p20,d20,e20,p21,d21,e21,p22,d22,e22,p23,d23,e23,p24,d24,e24,p25,d25,e25,p26,d26,e26
0,Lietkabelis,CBet,2,84,1,3.1666666666666665,2.1666666666666665,4.361111111111111,5.166666666666667,3.1666666666666665,8.027777777777779,8.833333333333334,5.333333333333333,3.305555555555556,11.0,4.5,2.5,7.0,6.5,7.666666666666667,5.8,6.6,10.559999999999999,18.166666666666668,4.5,14.361111111111112,8.428571428571429,1.4285714285714286,4.204081632653062,8.571428571428571,4.571428571428571,2.081632653061224,8.142857142857142,5.0,7.591836734693877,10.0,6.142857142857143,8.428571428571429,10.571428571428571,5.857142857142857,8.795918367346939,14.142857142857142,3.0,9.020408163265305,15.142857142857142,7.142857142857143,9.020408163265305
1,CBet,Lietkabelis,2,79,0,8.428571428571429,1.4285714285714286,4.204081632653062,8.571428571428571,4.571428571428571,2.081632653061224,8.142857142857142,5.0,7.591836734693877,10.0,6.142857142857143,8.428571428571429,10.571428571428571,5.857142857142857,8.795918367346939,14.142857142857142,3.0,9.020408163265305,15.142857142857142,7.142857142857143,9.020408163265305,3.1666666666666665,2.1666666666666665,4.361111111111111,5.166666666666667,3.1666666666666665,8.027777777777779,8.833333333333334,5.333333333333333,3.305555555555556,11.0,4.5,2.5,7.0,6.5,7.666666666666667,5.8,6.6,10.559999999999999,18.166666666666668,4.5,14.361111111111112
2,Lietkabelis,CBet,3,90,1,4.7894736842105265,2.3684210526315788,2.831024930747922,9.777777777777779,4.222222222222222,1.487654320987654,8.1,5.75,3.0549999999999997,9.666666666666666,2.888888888888889,5.648148148148148,7.411764705882353,6.176470588235294,10.20069204152249,12.4375,3.625,8.46484375,15.166666666666666,4.555555555555555,11.287037037037038,4.0,5.0,3.0,8.7,2.0,5.2,7.166666666666667,4.222222222222222,7.953703703703705,9.3,4.45,5.815,11.1,5.8,8.004999999999999,13.0,7.333333333333333,8.666666666666666,15.68421052631579,6.631578947368421,8.35180055401662
3,CBet,Lietkabelis,1,80,0,4.0,5.0,3.0,8.7,2.0,5.2,7.166666666666667,4.222222222222222,7.953703703703705,9.3,4.45,5.815,11.1,5.8,8.004999999999999,13.0,7.333333333333333,8.666666666666666,15.68421052631579,6.631578947368421,8.35180055401662,4.7894736842105265,2.3684210526315788,2.831024930747922,9.777777777777779,4.222222222222222,1.487654320987654,8.1,5.75,3.0549999999999997,9.666666666666666,2.888888888888889,5.648148148148148,7.411764705882353,6.176470588235294,10.20069204152249,12.4375,3.625,8.46484375,15.166666666666666,4.555555555555555,11.287037037037038
4,Lietkabelis,Basket-Delamode,2,82,1,4.777777777777778,2.3333333333333335,2.765432098765432,0.75,2.5,7.1875,9.882352941176471,4.294117647058823,1.7577854671280273,8.31578947368421,5.631578947368421,2.8060941828254853,9.764705882352942,2.7058823529411766,5.45674740484429,11.866666666666667,3.6666666666666665,8.057777777777778,7.3125,6.25,10.58203125,9.75,2.75,5.1875,9.0,5.105263157894737,5.052631578947368,10.11111111111111,3.2222222222222223,6.567901234567902,8.4,5.8,9.28,10.75,6.5,9.3875,11.25,9.35,10.6625,17.5,4.5,11.75
5,Basket-Delamode,Lietkabelis,2,81,0,9.75,2.75,5.1875,9.0,5.105263157894737,5.052631578947368,10.11111111111111,3.2222222222222223,6.567901234567902,8.4,5.8,9.28,10.75,6.5,9.3875,11.25,9.35,10.6625,17.5,4.5,11.75,4.777777777777778,2.3333333333333335,2.765432098765432,0.75,2.5,7.1875,9.882352941176471,4.294117647058823,1.7577854671280273,8.31578947368421,5.631578947368421,2.8060941828254853,9.764705882352942,2.7058823529411766,5.45674740484429,11.866666666666667,3.6666666666666665,8.057777777777778,7.3125,6.25,10.58203125
6,Lietkabelis,Basket-Delamode,2,88,1,3.857142857142857,1.6666666666666667,2.08843537414966,9.125,4.125,4.390625,9.2,3.04,5.568,7.333333333333333,3.111111111111111,7.37037037037037,7.875,5.916666666666667,9.661458333333334,13.652173913043478,4.130434782608695,8.724007561436673,14.08695652173913,4.3478260869565215,10.090737240075613,0.0,0.2857142857142857,-0.42857142857142855,3.066666666666667,1.3333333333333333,1.6711111111111108,9.964285714285714,3.0,7.034438775510204,9.384615384615385,5.230769230769231,5.553254437869823,7.769230769230769,6.538461538461538,8.136094674556213,10.074074074074074,6.407407407407407,9.706447187928669,11.214285714285714,9.857142857142858,8.400510204081632
7,Basket-Delamode,Lietkabelis,2,82,0,0.0,0.2857142857142857,-0.42857142857142855,3.066666666666667,1.3333333333333333,1.6711111111111108,9.964285714285714,3.0,7.034438775510204,9.384615384615385,5.230769230769231,5.553254437869823,7.769230769230769,6.538461538461538,8.136094674556213,10.074074074074074,6.407407407407407,9.706447187928669,11.214285714285714,9.857142857142858,8.400510204081632,3.857142857142857,1.6666666666666667,2.08843537414966,9.125,4.125,4.390625,9.2,3.04,5.568,7.333333333333333,3.111111111111111,7.37037037037037,7.875,5.916666666666667,9.661458333333334,13.652173913043478,4.130434782608695,8.724007561436673,14.08695652173913,4.3478260869565215,10.090737240075613
8,Lietkabelis,Neptūnas,1,76,1,0.0,3.0,4.0,3.5,2.0,2.75,10.142857142857142,4.357142857142857,1.4387755102040813,8.5,5.875,2.90625,7.769230769230769,6.0,10.366863905325443,12.5,3.0,11.875,15.857142857142858,5.0,12.775510204081632,6.882352941176471,1.4705882352941178,7.757785467128027,8.777777777777779,3.0,7.098765432098765,6.388888888888889,5.666666666666667,6.854938271604938,8.461538461538462,4.384615384615385,7.112426035502958,9.235294117647058,5.705882352941177,6.660899653979239,13.733333333333333,3.0,5.315555555555557,14.9,9.4,12.49
9,Neptūnas,Lietkabelis,1,78,0,6.882352941176471,1.4705882352941178,7.757785467128027,8.777777777777779,3.0,7.098765432098765,6.388888888888889,5.666666666666667,6.854938271604938,8.461538461538462,4.384615384615385,7.112426035502958,9.235294117647058,5.705882352941177,6.660899653979239,13.733333333333333,3.0,5.315555555555557,14.9,9.4,12.49,0.0,3.0,4.0,3.5,2.0,2.75,10.142857142857142,4.357142857142857,1.4387755102040813,8.5,5.875,2.90625,7.769230769230769,6.0,10.366863905325443,12.5,3.0,11.875,15.857142857142858,5.0,12.775510204081632
