,winrate,average,last_game,team1,team2,games_played,date,score1,home,p10,d10,e10,p11,d11,e11,p12,d12,e12,p13,d13,e13,p14,d14,e14,p15,d15,e15,p20,d20,e20,p21,d21,e21,p22,d22,e22,p23,d23,e23,p24,d24,e24,p25,d25,e25
0,1,91.0,10 days 00:00:00,Lietkabelis,CBet,1,2023-01-07,86,1,19.0,6.0,27.0,13.0,9.0,27.0,13.0,3.0,21.0,12.0,5.0,19.0,12.0,5.0,18.0,6.0,4.0,12.0,20.0,5.0,23.0,15.0,5.0,28.0,17.0,4.0,23.0,10.0,6.0,24.0,17.0,1.0,15.0,7.0,4.0,12.0
1,-1,88.0,16 days 00:00:00,CBet,Lietkabelis,1,2023-01-07,84,0,20.0,5.0,23.0,15.0,5.0,28.0,17.0,4.0,23.0,10.0,6.0,24.0,17.0,1.0,15.0,7.0,4.0,12.0,19.0,6.0,27.0,13.0,9.0,27.0,13.0,3.0,21.0,12.0,5.0,19.0,12.0,5.0,18.0,6.0,4.0,12.0
2,2,88.5,8 days 00:00:00,Lietkabelis,CBet,1,2023-04-16,85,1,16.5,10.0,18.75,15.5,4.0,9.75,14.0,3.0,10.0,11.5,5.0,8.25,9.0,4.0,11.0,7.0,5.0,9.0,20.0,1.0,27.0,16.5,7.0,13.75,11.5,5.5,17.75,17.0,2.5,12.5,12.0,4.0,11.0,8.0,4.0,10.5
3,-2,86.0,5 days 00:00:00,CBet,Lietkabelis,2,2023-04-16,72,0,20.0,1.0,27.0,16.5,7.0,13.75,11.5,5.5,17.75,17.0,2.5,12.5,12.0,4.0,11.0,8.0,4.0,10.5,16.5,10.0,18.75,15.5,4.0,9.75,14.0,3.0,10.0,11.5,5.0,8.25,9.0,4.0,11.0,7.0,5.0,9.0
4,3,87.33333333333333,3 days 00:00:00,Lietkabelis,CBet,4,2023-05-31,80,1,16.0,9.0,32.0,13.0,8.0,12.333333333333334,13.0,3.0,17.0,6.0,5.0,17.0,8.666666666666666,6.333333333333333,12.555555555555555,11.0,3.0,13.0,20.0,10.0,25.0,6.0,6.0,20.0,11.0,4.0,13.0,12.0,6.0,10.0,10.0,4.0,13.0,5.0,3.0,12.0
5,-3,81.33333333333333,6 days 00:00:00,CBet,Lietkabelis,2,2023-05-31,89,0,20.0,10.0,25.0,6.0,6.0,20.0,11.0,4.0,13.0,12.0,6.0,10.0,10.0,4.0,13.0,5.0,3.0,12.0,16.0,9.0,32.0,13.0,8.0,12.333333333333334,13.0,3.0,17.0,6.0,5.0,17.0,8.666666666666666,6.333333333333333,12.555555555555555,11.0,3.0,13.0
6,3,86.0,3 days 00:00:00,Lietkabelis,CBet,3,2023-06-05,63,1,15.0,7.5,18.5,16.0,4.0,18.0,8.5,8.0,16.75,7.5,8.5,7.75,13.0,2.0,8.0,7.5,4.0,8.75,19.0,3.6666666666666665,18.666666666666668,17.333333333333332,8.666666666666666,9.777777777777777,9.0,5.333333333333333,14.333333333333334,11.0,4.0,13.0,10.666666666666666,4.333333333333333,9.222222222222221,7.0,5.0,8.0
7,-3,84.0,3 days 00:00:00,CBet,Lietkabelis,3,2023-06-05,82,0,19.0,3.6666666666666665,18.666666666666668,17.333333333333332,8.666666666666666,9.777777777777777,9.0,5.333333333333333,14.333333333333334,11.0,4.0,13.0,10.666666666666666,4.333333333333333,9.222222222222221,7.0,5.0,8.0,15.0,7.5,18.5,16.0,4.0,18.0,8.5,8.0,16.75,7.5,8.5,7.75,13.0,2.0,8.0,7.5,4.0,8.75
8,3,78.2,2 days 00:00:00,Lietkabelis,CBet,4,2023-06-09,84,1,7.0,6.0,12.5,5.0,8.5,12.0,17.5,2.0,4.25,6.0,5.5,12.0,11.5,6.0,5.75,7.0,5.0,8.0,21.0,4.0,16.5,10.75,5.75,15.1875,14.25,7.75,9.0625,11.75,5.75,13.1875,7.0,5.0,8.0,5.5,4.0,4.625
9,-3,77.0,2 days 00:00:00,CBet,Lietkabelis,4,2023-06-09,72,0,21.0,4.0,16.5,10.75,5.75,15.1875,14.25,7.75,9.0625,11.75,5.75,13.1875,7.0,5.0,8.0,5.5,4.0,4.625,7.0,6.0,12.5,5.0,8.5,12.0,17.5,2.0,4.25,6.0,5.5,12.0,11.5,6.0,5.75,7.0,5.0,8.0
